-1.0012,-1.084,-2.1648,-1.4507,-2.1332,-2.3532,-1.1601,-1.4373,-1.4268,-1.6434,-1.0824,-1.1378,-1.3677,-0.62832,-0.73301,-0.70093
-5.686,-5.9123,-5.9834,-5.1034,-6.0605,-5.1807,-5.2985,-5.2832,-5.7653,-5.905,-5.9026,-5.6032,-6.1416,-5.7662,-5.5427,-5.5054
-1.2581,-1.2521,-2.389,-1.5812,-2.328,-2.7368,-1.3816,-1.7431,-1.6519,-1.779,-1.3473,-1.4343,-1.5339,-0.89757,-0.98119,-0.95553
-4.731,-4.9983,-4.7294,-4.248,-5.1812,-4.811,-4.385,-4.6983,-4.4887,-4.419,-4.3606,-4.7875,-4.5579,-4.0766,-4.3699,-4.7666
-0.0074646,0.13758,-0.45701,0.13464,-0.47434,-0.12457,-0.18964,-0.053092,-0.12552,-0.00093516,0.30625,0.043215,-0.15861,0.5542,0.44131,0.19097
-3.2238,-3.6357,-3.8831,-3.3198,-3.6373,-3.3033,-3.7644,-3.4333,-4.5185,-3.9728,-3.535,-3.5101,-3.9941,-3.552,-2.4809,-3.5734
-3.8889,-4.1137,-4.0248,-3.3444,-4.3609,-4.1344,-3.9432,-3.8649,-4.1724,-4.1742,-3.8905,-4.187,-4.0872,-3.324,-3.1836,-3.7733
-3.273,-3.6943,-3.2785,-3.1042,-3.1767,-3.1436,-3.6014,-3.5859,-4.0497,-3.829,-3.5955,-3.1893,-4.1215,-3.3843,-2.0183,-3.357
-2.3828,-3.1409,-2.5334,-2.8245,-2.5603,-2.6534,-2.8551,-2.6418,-3.4195,-2.4404,-2.3811,-2.3822,-2.751,-2.2704,-1.9123,-2.3385
-3.1035,-2.4273,-2.9979,-2.899,-3.1633,-2.8781,-2.6704,-3.1464,-2.9281,-2.8892,-3.2534,-3.1267,-2.9662,-2.7562,-2.6649,-3.0428
-4.2132,-4.5173,-4.8342,-3.9088,-4.495,-4.0507,-4.0749,-4.3527,-4.7926,-4.3602,-4.1655,-4.4949,-4.8904,-4.5283,-3.6869,-4.3182
-3.5001,-2.7332,-3.1781,-3.6659,-3.1218,-2.883,-3.0449,-3.3864,-3.2905,-3.1912,-3.7488,-3.3979,-3.1305,-2.9697,-2.8725,-3.4058
-6.9725,-7.0644,-5.8493,-5.7794,-6.9384,-6.0855,-6.0088,-6.582,-6.5861,-6.3813,-6.2273,-6.6654,-6.45,-6.4865,-6.1484,-6.5063
